imagePath,title,caption,labels
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10673.jpg,Doodle Girl Ballet School Black Tops,a black tops for women casual(fall 2011).,ArticleType=Tops; Colour=Black; Gender=Women; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\38384.jpg,Peter England Men Black Belt,a black belts for men casual(summer 2012).,ArticleType=Belts; Colour=Black; Gender=Men; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46560.jpg,Timex Men Black Dial Watch,a black watches for men casual(winter 2016).,ArticleType=Watches; Colour=Black; Gender=Men; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\21670.jpg,Fossil Men Black Dial Chronograph Watch CH2600,a black watches for men casual(winter 2016).,ArticleType=Watches; Colour=Black; Gender=Men; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\2163.jpg,Probase Men Stripe Red Shirt,a red shirts for men casual(summer 2011).,ArticleType=Shirts; Colour=Red; Gender=Men; Season=Summer; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50346.jpg,Aurelia Women Pink Kurta,a pink kurtas for women ethnic(summer 2012).,ArticleType=Kurtas; Colour=Pink; Gender=Women; Season=Summer; Usage=Ethnic; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\8056.jpg,Fila Men's Core Pique Polo Red T-shirt,a red tshirts for men sports(fall 2011).,ArticleType=Tshirts; Colour=Red; Gender=Men; Season=Fall; Usage=Sports; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\8228.jpg,Fastrack Men Red Messenger Bag,a red messenger bag for men casual(winter 2016).,ArticleType=Messenger Bag; Colour=Red; Gender=Men; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\8796.jpg,Scullers Men Black White Check Shirt,a black shirts for men casual(fall 2011).,ArticleType=Shirts; Colour=Black; Gender=Men; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\54925.jpg,Do U Speak Green Men Cream Shorts,a cream shorts for men casual(summer 2012).,ArticleType=Shorts; Colour=Cream; Gender=Men; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\27209.jpg,Doodle Kids Boy Check Red Shirt,a red shirts for men casual(summer 2012).,ArticleType=Shirts; Colour=Red; Gender=Men; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\4554.jpg,Nike Men's Total90 Shoot White Shoe,a white sports shoes for men sports(summer 2011).,ArticleType=Sports Shoes; Colour=White; Gender=Men; Season=Summer; Usage=Sports; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\28127.jpg,Jockey MODERN CLASSIC Men Brown Modern Classic Brief 8035,a brown briefs for men casual(summer 2016).,ArticleType=Briefs; Colour=Brown; Gender=Men; Season=Summer; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\23569.jpg,Boss Women Femme Perfume,a pink perfume and body mist for women casual(spring 2017).,ArticleType=Perfume and Body Mist; Colour=Pink; Gender=Women; Season=Spring; Usage=Casual; Year=2017
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\25752.jpg,Lino Perros Men Canvas Mustard Belt,a mustard belts for men casual(winter 2015).,ArticleType=Belts; Colour=Mustard; Gender=Men; Season=Winter; Usage=Casual; Year=2015
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\33946.jpg,ADIDAS Men Green Polo T-shirt,a green tshirts for men casual(summer 2012).,ArticleType=Tshirts; Colour=Green; Gender=Men; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\53668.jpg,Kiara Women Teal Handbag,a teal handbags for women casual(summer 2012).,ArticleType=Handbags; Colour=Teal; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\29461.jpg,Giordano Women White Dial Watch,a white free gifts for women casual(winter 2016).,ArticleType=Free Gifts; Colour=White; Gender=Women; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\13793.jpg,Proline Mens Solid Blue Polo Tshirt,a blue tshirts for men casual(fall 2011).,ArticleType=Tshirts; Colour=Blue; Gender=Men; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\24081.jpg,Catwalk Women Red Casual Shoes,a red casual shoes for women casual(winter 2015).,ArticleType=Casual Shoes; Colour=Red; Gender=Women; Season=Winter; Usage=Casual; Year=2015
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58898.jpg,Hakashi Men Black & Grey Silk Tie,a grey ties for men casual(summer 2012).,ArticleType=Ties; Colour=Grey; Gender=Men; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46606.jpg,Catwalk Women Blue Shoes,a blue casual shoes for women casual(winter 2015).,ArticleType=Casual Shoes; Colour=Blue; Gender=Women; Season=Winter; Usage=Casual; Year=2015
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\38771.jpg,Woodland Men Khaki Shoes,a khaki casual shoes for men casual(summer 2016).,ArticleType=Casual Shoes; Colour=Khaki; Gender=Men; Season=Summer; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\19070.jpg,W Women Floral Print Blue Kurta,a blue kurtas for women ethnic(fall 2011).,ArticleType=Kurtas; Colour=Blue; Gender=Women; Season=Fall; Usage=Ethnic; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\25532.jpg,Wrangler Men Benefica Purple Shirt,a purple shirts for men casual(summer 2012).,ArticleType=Shirts; Colour=Purple; Gender=Men; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\28450.jpg,Urban Yoga Women Grey Track Pants,a grey track pants for women casual(summer 2012).,ArticleType=Track Pants; Colour=Grey; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\14921.jpg,Mr. Men Men Beware Teal Tshirts,a teal tshirts for men casual(fall 2011).,ArticleType=Tshirts; Colour=Teal; Gender=Men; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\29616.jpg,Indigo Nation Men Maroon Shirt,a maroon shirts for men formal(summer 2012).,ArticleType=Shirts; Colour=Maroon; Gender=Men; Season=Summer; Usage=Formal; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\17720.jpg,Reid & Taylor Men Check White Shirt,a white shirts for men casual(fall 2011).,ArticleType=Shirts; Colour=White; Gender=Men; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\29223.jpg,Fila Men Pack Of 3 Socks,a white socks for men sports(fall 2014).,ArticleType=Socks; Colour=White; Gender=Men; Season=Fall; Usage=Sports; Year=2014
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\47183.jpg,Ganuchi Men Red Casual Shoes,a red casual shoes for men casual(summer 2012).,ArticleType=Casual Shoes; Colour=Red; Gender=Men; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\43367.jpg,Reebok Women Black Casual Shoes,a black flats for women casual(summer 2012).,ArticleType=Flats; Colour=Black; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\23729.jpg,Ray-Ban Men High Street Sunglasses,a black sunglasses for men casual(winter 2016).,ArticleType=Sunglasses; Colour=Black; Gender=Men; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\13292.jpg,Gini and Jony Kids Boys Printed Green Tshirts,a green tshirts for men casual(fall 2011).,ArticleType=Tshirts; Colour=Green; Gender=Men; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10317.jpg,Esprit Women Purple Silicon Silver Watches,a silver watches for women casual(winter 2016).,ArticleType=Watches; Colour=Silver; Gender=Women; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\37167.jpg,United Colors of Benetton Boys Check Grey Waistcoat,a grey waistcoat for boys casual(summer 2012).,ArticleType=Waistcoat; Colour=Grey; Gender=Boys; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\12692.jpg,Nike Men Transform Black Sports Shoes,a black sports shoes for men sports(summer 2012).,ArticleType=Sports Shoes; Colour=Black; Gender=Men; Season=Summer; Usage=Sports; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\20483.jpg,Baggit Women Quick Buffalo Black Wallet,a black wallets for women casual(winter 2015).,ArticleType=Wallets; Colour=Black; Gender=Women; Season=Winter; Usage=Casual; Year=2015
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\33714.jpg,Cobblerz Men Brown Shoes,a brown casual shoes for men casual(winter 2012).,ArticleType=Casual Shoes; Colour=Brown; Gender=Men; Season=Winter; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58267.jpg,Baggit Women Bronze Handbag,a bronze handbags for women casual(fall 2012).,ArticleType=Handbags; Colour=Bronze; Gender=Women; Season=Fall; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\41753.jpg,Doodle Boys Printed Red T-shirt,a red tshirts for boys casual(summer 2012).,ArticleType=Tshirts; Colour=Red; Gender=Boys; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\45405.jpg,Rocia Women Bronze Sandals,a bronze flats for women casual(winter 2012).,ArticleType=Flats; Colour=Bronze; Gender=Women; Season=Winter; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36308.jpg,Strapless Unisex Yellow Flip Flops,a yellow flip flops for unisex casual(summer 2012).,ArticleType=Flip Flops; Colour=Yellow; Gender=Unisex; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50929.jpg,Parx Men Grey Briefs,a grey briefs for men casual(summer 2016).,ArticleType=Briefs; Colour=Grey; Gender=Men; Season=Summer; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\59244.jpg,Titan Men Blue Watch,a blue watches for men casual(winter 2016).,ArticleType=Watches; Colour=Blue; Gender=Men; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\31460.jpg,Nike Men Cricket Off White T-shirt,a white tshirts for men sports(summer 2012).,ArticleType=Tshirts; Colour=White; Gender=Men; Season=Summer; Usage=Sports; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\52579.jpg,Mod'acc Women Beige Clutch,a beige clutches for women casual(summer 2012).,ArticleType=Clutches; Colour=Beige; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\2849.jpg,Mr.Men Men's Mr.Messy Lt Grey T-shirt,a grey tshirts for men casual(summer 2011).,ArticleType=Tshirts; Colour=Grey; Gender=Men; Season=Summer; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\26433.jpg,Spice Art Women Leatherette Black Handbag,a black handbags for women casual(winter 2015).,ArticleType=Handbags; Colour=Black; Gender=Women; Season=Winter; Usage=Casual; Year=2015
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\44418.jpg,Red Tape Men Brown Shoes,a brown casual shoes for men casual(winter 2018).,ArticleType=Casual Shoes; Colour=Brown; Gender=Men; Season=Winter; Usage=Casual; Year=2018
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\15634.jpg,Nike Men AS AD Club Pique Polo Navy Blue Tshirts,a navy blue tshirts for men casual(fall 2011).,ArticleType=Tshirts; Colour=Navy Blue; Gender=Men; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\35661.jpg,U.S. Polo Assn. Men White Sandals,a white sandals for men casual(summer 2012).,ArticleType=Sandals; Colour=White; Gender=Men; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\22990.jpg,2go Active Gear USA Men Pack of Two Cushion Socks,a white socks for men casual(summer 2016).,ArticleType=Socks; Colour=White; Gender=Men; Season=Summer; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36807.jpg,Mont Blanc Men Exceptionnel Perfume,a bronze perfume and body mist for men casual(spring 2017).,ArticleType=Perfume and Body Mist; Colour=Bronze; Gender=Men; Season=Spring; Usage=Casual; Year=2017
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\18873.jpg,Franco Leone Men Formal Brown Shoes,a brown formal shoes for men formal(summer 2013).,ArticleType=Formal Shoes; Colour=Brown; Gender=Men; Season=Summer; Usage=Formal; Year=2013
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55646.jpg,Catwalk Women Silver Heels,a silver heels for women casual(winter 2015).,ArticleType=Heels; Colour=Silver; Gender=Women; Season=Winter; Usage=Casual; Year=2015
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50953.jpg,Lee Womens Blue Maxi Fit Jeans,a blue jeans for women casual(winter 2011).,ArticleType=Jeans; Colour=Blue; Gender=Women; Season=Winter; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\7888.jpg,Proline Men Pack of 3 T-shirts,a grey tshirts for men casual(fall 2011).,ArticleType=Tshirts; Colour=Grey; Gender=Men; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\7515.jpg,Nike Women's Aqua Blue Polo T-shirt,a white tshirts for women sports(summer 2011).,ArticleType=Tshirts; Colour=White; Gender=Women; Season=Summer; Usage=Sports; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\35686.jpg,U.S. Polo Assn. Men Beige Shoes,a navy blue casual shoes for men casual(summer 2013).,ArticleType=Casual Shoes; Colour=Navy Blue; Gender=Men; Season=Summer; Usage=Casual; Year=2013
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\44127.jpg,Boss Men In Motion Deo,a grey deodorant for men casual(spring 2017).,ArticleType=Deodorant; Colour=Grey; Gender=Men; Season=Spring; Usage=Casual; Year=2017
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\39788.jpg,Peter England Men Maroon Purple Shirt,a purple shirts for men formal(summer 2012).,ArticleType=Shirts; Colour=Purple; Gender=Men; Season=Summer; Usage=Formal; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10347.jpg,United Colors of Benetton Men Printed Purple Tshirts,a purple tshirts for men casual(fall 2011).,ArticleType=Tshirts; Colour=Purple; Gender=Men; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\19871.jpg,ADIDAS Men Wires Navy Blue Flip Flops,a navy blue flip flops for men casual(fall 2011).,ArticleType=Flip Flops; Colour=Navy Blue; Gender=Men; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\24216.jpg,Nike Unisex Arsenal Red Football Cap,a red caps for unisex sports(summer 2012).,ArticleType=Caps; Colour=Red; Gender=Unisex; Season=Summer; Usage=Sports; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\35905.jpg,Peperone Women Brown & Pink Wallet,a brown wallets for women casual(fall 2012).,ArticleType=Wallets; Colour=Brown; Gender=Women; Season=Fall; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\7791.jpg,Proline Men's Polo Solid Olive T-shirt,a green tshirts for men casual(fall 2011).,ArticleType=Tshirts; Colour=Green; Gender=Men; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\19189.jpg,United Colors of Benetton Men White Shirt,a white shirts for men casual(fall 2011).,ArticleType=Shirts; Colour=White; Gender=Men; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\9012.jpg,Decathlon Men Quechua Grey Floater,a grey sandals for men casual(summer 2011).,ArticleType=Sandals; Colour=Grey; Gender=Men; Season=Summer; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50632.jpg,Chromozome Men Grey & Black Trunks,a grey trunk for men casual(winter 2016).,ArticleType=Trunk; Colour=Grey; Gender=Men; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55377.jpg,Revlon Lavender Nail Enamel 323,a pink nail polish for women casual(spring 2017).,ArticleType=Nail Polish; Colour=Pink; Gender=Women; Season=Spring; Usage=Casual; Year=2017
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58265.jpg,Baggit Women Brown Handbag,a brown handbags for women casual(summer 2012).,ArticleType=Handbags; Colour=Brown; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\2707.jpg,Disney Kids Girl's Dress Pink Pooh Kidswear,a pink dresses for girls casual(summer 2011).,ArticleType=Dresses; Colour=Pink; Gender=Girls; Season=Summer; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\32112.jpg,Playboy Men Rap Grey Brief,a grey briefs for men casual(summer 2016).,ArticleType=Briefs; Colour=Grey; Gender=Men; Season=Summer; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\43402.jpg,Lino Perros Men Monday to Friday Socks,a black socks for men casual(summer 2012).,ArticleType=Socks; Colour=Black; Gender=Men; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\6311.jpg,UCB Women Basic Racerback Black Top,a black tops for women casual(summer 2011).,ArticleType=Tops; Colour=Black; Gender=Women; Season=Summer; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\24495.jpg,Mother Earth Women Magenta Printed Kurta,a magenta kurtas for women ethnic(fall 2011).,ArticleType=Kurtas; Colour=Magenta; Gender=Women; Season=Fall; Usage=Ethnic; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58372.jpg,Locomotive Men Beige T-shirt,a beige tshirts for men casual(summer 2012).,ArticleType=Tshirts; Colour=Beige; Gender=Men; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\3650.jpg,Fila Men Drake White Sports Shoe,a white sports shoes for men sports(summer 2012).,ArticleType=Sports Shoes; Colour=White; Gender=Men; Season=Summer; Usage=Sports; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\33230.jpg,New Hide Unisex Brown Leather Laptop Bag,a brown laptop bag for unisex casual(summer 2012).,ArticleType=Laptop Bag; Colour=Brown; Gender=Unisex; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\19627.jpg,United Colors of Benetton Men Printed White Tshirt,a white tshirts for men casual(summer 2011).,ArticleType=Tshirts; Colour=White; Gender=Men; Season=Summer; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\23214.jpg,Aneri Women Sagar Cream Kurta,a cream kurtas for women ethnic(fall 2011).,ArticleType=Kurtas; Colour=Cream; Gender=Women; Season=Fall; Usage=Ethnic; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\18367.jpg,Undercolors of Benetton Men Pack of 2 Vests,a grey innerwear vests for men casual(summer 2016).,ArticleType=Innerwear Vests; Colour=Grey; Gender=Men; Season=Summer; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\30713.jpg,Fabindia Black Silk Matka Purse,a black clutches for women ethnic(summer 2012).,ArticleType=Clutches; Colour=Black; Gender=Women; Season=Summer; Usage=Ethnic; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36617.jpg,Catwalk Women Brown Flats,a brown heels for women casual(winter 2015).,ArticleType=Heels; Colour=Brown; Gender=Women; Season=Winter; Usage=Casual; Year=2015
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10649.jpg,Doodle Boys Grand Prix White Shirt,a white shirts for boys casual(fall 2011).,ArticleType=Shirts; Colour=White; Gender=Boys; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\45692.jpg,TOUS Women Leau Eau De Parfum 90 ml,a pink perfume and body mist for women casual(spring 2017).,ArticleType=Perfume and Body Mist; Colour=Pink; Gender=Women; Season=Spring; Usage=Casual; Year=2017
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36753.jpg,Little Miss Girls Chatterbox Blue Clothing Set,a blue clothing set for girls casual(summer 2012).,ArticleType=Clothing Set; Colour=Blue; Gender=Girls; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46413.jpg,ADIDAS Men Graphic Purple T-shirt,a purple tshirts for men casual(summer 2012).,ArticleType=Tshirts; Colour=Purple; Gender=Men; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46601.jpg,Catwalk Women Gold Coloured Heels,a gold heels for women casual(winter 2012).,ArticleType=Heels; Colour=Gold; Gender=Women; Season=Winter; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\9493.jpg,Puma Unisex Grit Black Backpacks,a black backpacks for unisex casual(fall 2011).,ArticleType=Backpacks; Colour=Black; Gender=Unisex; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\30774.jpg,Fabindia Men Striped Olive Tussar Kurta,a olive kurtas for men ethnic(summer 2012).,ArticleType=Kurtas; Colour=Olive; Gender=Men; Season=Summer; Usage=Ethnic; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\4524.jpg,Puma Men's YugoRun Black White Shoe,a black sports shoes for men sports(summer 2011).,ArticleType=Sports Shoes; Colour=Black; Gender=Men; Season=Summer; Usage=Sports; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\44188.jpg,iPanema Women Black Flip Flops,a black flip flops for women casual(winter 2012).,ArticleType=Flip Flops; Colour=Black; Gender=Women; Season=Winter; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36676.jpg,Paridhan Women Red Handbag,a red handbags for women casual(summer 2012).,ArticleType=Handbags; Colour=Red; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\20623.jpg,Baggit Women Voodoo Gipsy White Sling Bag,a white handbags for women casual(winter 2015).,ArticleType=Handbags; Colour=White; Gender=Women; Season=Winter; Usage=Casual; Year=2015
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\20331.jpg,Mr.Men Little Miss Men Purple Tshirt,a purple tshirts for men casual(fall 2011).,ArticleType=Tshirts; Colour=Purple; Gender=Men; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\47477.jpg,Tiptopp Women Black Flats,a black flats for women casual(summer 2012).,ArticleType=Flats; Colour=Black; Gender=Women; Season=Summer; Usage=Casual; Year=2012
