imagePath,title
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\38771.jpg,Woodland Men Khaki Shoes
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\19070.jpg,W Women Floral Print Blue Kurta
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\25532.jpg,Wrangler Men Benefica Purple Shirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\28450.jpg,Urban Yoga Women Grey Track Pants
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\14921.jpg,Mr. Men Men Beware Teal Tshirts
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\29616.jpg,Indigo Nation Men Maroon Shirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\17720.jpg,Reid & Taylor Men Check White Shirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\29223.jpg,Fila Men Pack Of 3 Socks
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\47183.jpg,Ganuchi Men Red Casual Shoes
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\43367.jpg,Reebok Women Black Casual Shoes
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\23729.jpg,Ray-Ban Men High Street Sunglasses
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\13292.jpg,Gini and Jony Kids Boys Printed Green Tshirts
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10317.jpg,Esprit Women Purple Silicon Silver Watches
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\37167.jpg,United Colors of Benetton Boys Check Grey Waistcoat
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\12692.jpg,Nike Men Transform Black Sports Shoes
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\20483.jpg,Baggit Women Quick Buffalo Black Wallet
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\33714.jpg,Cobblerz Men Brown Shoes
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58267.jpg,Baggit Women Bronze Handbag
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\41753.jpg,Doodle Boys Printed Red T-shirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\45405.jpg,Rocia Women Bronze Sandals
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36308.jpg,Strapless Unisex Yellow Flip Flops
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50929.jpg,Parx Men Grey Briefs
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\59244.jpg,Titan Men Blue Watch
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\31460.jpg,Nike Men Cricket Off White T-shirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\52579.jpg,Mod'acc Women Beige Clutch
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\2849.jpg,Mr.Men Men's Mr.Messy Lt Grey T-shirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\26433.jpg,Spice Art Women Leatherette Black Handbag
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\44418.jpg,Red Tape Men Brown Shoes
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\15634.jpg,Nike Men AS AD Club Pique Polo Navy Blue Tshirts
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\35661.jpg,U.S. Polo Assn. Men White Sandals
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\22990.jpg,2go Active Gear USA Men Pack of Two Cushion Socks
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36807.jpg,Mont Blanc Men Exceptionnel Perfume
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\18873.jpg,Franco Leone Men Formal Brown Shoes
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55646.jpg,Catwalk Women Silver Heels
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50953.jpg,Lee Womens Blue Maxi Fit Jeans
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\7888.jpg,Proline Men Pack of 3 T-shirts
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\7515.jpg,Nike Women's Aqua Blue Polo T-shirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\35686.jpg,U.S. Polo Assn. Men Beige Shoes
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\44127.jpg,Boss Men In Motion Deo
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\39788.jpg,Peter England Men Maroon Purple Shirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10347.jpg,United Colors of Benetton Men Printed Purple Tshirts
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\19871.jpg,ADIDAS Men Wires Navy Blue Flip Flops
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\24216.jpg,Nike Unisex Arsenal Red Football Cap
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\35905.jpg,Peperone Women Brown & Pink Wallet
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\7791.jpg,Proline Men's Polo Solid Olive T-shirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\19189.jpg,United Colors of Benetton Men White Shirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\9012.jpg,Decathlon Men Quechua Grey Floater
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50632.jpg,Chromozome Men Grey & Black Trunks
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55377.jpg,Revlon Lavender Nail Enamel 323
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58265.jpg,Baggit Women Brown Handbag
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\2707.jpg,Disney Kids Girl's Dress Pink Pooh Kidswear
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\32112.jpg,Playboy Men Rap Grey Brief
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\43402.jpg,Lino Perros Men Monday to Friday Socks
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\6311.jpg,UCB Women Basic Racerback Black Top
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\24495.jpg,Mother Earth Women Magenta Printed Kurta
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58372.jpg,Locomotive Men Beige T-shirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\3650.jpg,Fila Men Drake White Sports Shoe
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\33230.jpg,New Hide Unisex Brown Leather Laptop Bag
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\19627.jpg,United Colors of Benetton Men Printed White Tshirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\23214.jpg,Aneri Women Sagar Cream Kurta
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\18367.jpg,Undercolors of Benetton Men Pack of 2 Vests
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\30713.jpg,Fabindia Black Silk Matka Purse
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36617.jpg,Catwalk Women Brown Flats
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10649.jpg,Doodle Boys Grand Prix White Shirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\45692.jpg,TOUS Women Leau Eau De Parfum 90 ml
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36753.jpg,Little Miss Girls Chatterbox Blue Clothing Set
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46413.jpg,ADIDAS Men Graphic Purple T-shirt
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46601.jpg,Catwalk Women Gold Coloured Heels
